actor_name,birth_year,known_for,actor_role,actor_awards
A.J. Laird,none,"Through Eyes of Grace, Chicago P.D.","Reparto,  Diseño de producción","Couch Film Festival, Wildwood Film Festival, US"
Steve Piper,1969,"M3ntal State, Chicago P.D.","Reparto,  Equipos adicionales",Couch Film Festival
Catalina Ariel,none,"Where Is She?, Relationships","Reparto,  Dirección de arte,  Arte",None
Brian Naydol,none,"The Barlow House, Tread This Fantasy","Guion,  Dirección,  Producción",None
Jada Krueger,none,,Reparto,None
Cailey Fleming,2007,"The Walking Dead, Star Wars: El despertar de la Fuerza","Reparto,  Banda sonora","CinEuphoria Awards, Blue Whiskey Independent Film Festival"
Ryan Reynolds,1976,"Deadpool, Buried","Reparto,  Producción,  Guion","Academy of Science Fiction, Fantasy & Horror Films, USA, Critics Choice Awards"
John Krasinski,1979,"Un lugar tranquilo, The Office","Reparto,  Producción,  Dirección","Academy of Science Fiction, Fantasy & Horror Films, USA, Bram Stoker Awards"
Fiona Shaw,1958,"Harry Potter y la piedra filosofal, Los vengadores","Reparto,  Equipos adicionales,  Banda sonora","BAFTA Awards, British Independent Film Awards"
Steve Carell,1962,"Virgen a los 40, Foxcatcher","Reparto,  Producción,  Guion","Academy Awards, USA, American Comedy Awards, USA"
Olivia d'Abo,1969,"La asesina, Star Wars: El ascenso de Skywalker","Reparto,  Música,  Producción","Razzie Awards, Behind the Voice Actors Awards"
Kelli Maroney,none,"La noche del cometa, ""Ryans Hope""","Reparto,  Producción",None
Laurene Landon,none,"Aterriza como puedas II, Yo, el jurado",Reparto,"Top Indie Film Awards, Independent Horror Movie Awards"
Tracee Cocco,none,"Staycation, The Last Battleship","Reparto,  Especialistas","Indie Short Fest, IndieX Film Festival"
Sean Kenney,none,,Reparto,"Indie Short Fest, IndieX Film Festival"
Chronox,none,,Reparto,None
Liara Deia,none,,"Reparto,  Dirección de arte,  Dirección de casting",None
Gwyneth Irene,none,,Reparto,None
Jenniefs,none,,Reparto,None
Davina Jereni,none,,Reparto,None
Jason Sudeikis,1975,"Somos los Miller, Colossal","Reparto,  Guion,  Producción","American Comedy Awards, USA, Critics Choice Awards"
Rainn Wilson,1966,"Super, Dulces criaturas","Reparto,  Producción,  Guion","Daytime Emmy Awards, Primetime Emmy Awards"
RuPaul,1960,"RuPaul: Reinas del Drag: All Stars, ""But Im a Cheerleader""","Producción,  Reparto,  Música","BAFTA Awards, Critics Choice Awards"
Charlie Adler,1956,"Transformers, Transformers: La venganza de los caídos","Reparto,  Equipos adicionales,  Dirección de casting","Annie Awards, Daytime Emmy Awards"
Anitta,1993,"""Anitta: Boys Dont Cry"", Anitta: Funk Rave","Music Artist,  Reparto,  Música","Grammy Awards, ""Peoples Choice Awards, USA"""
Billy Zane,1966,"The Phantom, Regreso al futuro: Parte II","Reparto,  Producción,  Dirección","B-Movie Film Festival, Blockbuster Entertainment Awards"
Jonathan Rhys Meyers,1977,"Vikingos, Los Tudor","Reparto,  Producción,  Banda sonora","Cannes Film Festival, Primetime Emmy Awards"
Debi Mazar,1964,"Beethoven 2: La familia crece, El dilema","Reparto,  Maquillaje,  Producción","Monte-Carlo TV Festival, Screen Actors Guild Awards"
