id_imdb,score_imdb,score_rt,director_imdb,screenwriters_imdb,plot_rt,duration_imdb,title_imdb
tt30970632,"6,8",none,Franco García Becerra,Annemarie Gunkel,"Two sisters who are marked by a blood difference share disturbing universes. In the countryside, their broken relationship is put to the test.",83,Raíz
tt30970938,none,none,Christopher Nkem Okafor,Roberta Uti Okpako,none,90,Mr Patrick Wahala in America
tt30971388,none,none,Tessa Blake,Tessa Blake,none,none,Boundary Waters
tt30971472,"6,9",none,Hikmat Rahimov,Hikmat Rahimov,none,none,Apatiya
tt30971598,"8,5",none,Rikiya Imaizumi,Jun Hagimori,none,119,Eiga Karakai Jôzu no Takagi-san
tt30972437,"4,4",none,Robert L. Parker III,Robert L. Parker III,none,80,A Stripper's Dance
tt30972487,"6,5",none,Randy Holloway,Todd Burton,"In suburban Ohio, a successful singer and music producer's pursuit of a peaceful life is marred by his grown son's involvement in the drug game.",none,It's All or Nothing
tt30972648,none,none,Hannah Yoseph,Hannah Yoseph,none,0,Wisdom's House: Director's Cut
tt30972810,"6,7",none,Bingjia Yang,Bingjia Yang,none,90,Mu zhong wu ren 2
tt30974961,none,none,Bailey Lock,Bailey Lock,A 27-year-old man drives toward the South of France in a Ford and invites a young man and his sister on his aimless journey.,82,Going South
tt30976412,none,none,Diego Gottheil,Diego Gottheil,none,116,La Herida
tt30982333,"6,6",none,Pedro Antonio,Pedro Antonio,none,105,Evidências do Amor
tt30982518,none,none,Tripati Sahoo,Nirmala Nayak,none,152,Akash Vani
tt30982785,"7,0",none,Antonella Sudasassi,none,"Raised in a repressive era where sexuality was taboo, Ana, Patricia, and Mayela found their understanding of womanhood based on unspoken rules and implicit impositions. Now, their fearless voices incarnate in a single 65-year-old woman, who revisits a kaleidoscopic life of intertwined memories, secrets, and hidden desires.",90,Memories of a Burning Body
tt30984911,"8,5",none,Talha Kemiksiz,Talha Kemiksiz,none,103,Sehnsucht nach Firdaws
tt30985567,none,none,Andre Dixon,Thomas Freeman Jr.,none,none,Get Close 2
tt30985611,"2,8",none,Amir-Abbas Rabiei,Amir-Abbas Rabiei,none,none,Ahmad
tt30989079,none,none,Choi Yi-hyun,Kim Byeong-Ok,none,95,Father-in-law and Son-in-law
tt30985842,"8,5",none,Rufus Norris,Tim Price,"Michael Sheen plays Nye Bevan in a surreal and spectacular journey through the life and legacy of the man who transformed Britain's welfare state and created the NHS. Confronted with death, Aneurin 'Nye' Bevan's deepest memories lead him on a mind-bending journey back through his life; from childhood to mining underground, Parliament and fights with Churchill.",160,National Theatre Live: Nye
tt30985568,"7,5",none,none,none,none,172,Samandar
tt30985888,"7,8",none,none,none,none,100,Alive in Mo...
