id_imdb,score_imdb,score_rt,director_imdb,screenriters_imdb,plot_rt,duration_imdb,title_imdb
tt31015247,"5,4",53,Olivier Assayas,Olivier Assayas,"April 2020 – Lockdown. Etienne, a film director, and his brother Paul, a music journalist, are confined together in their childhood home with their new partners Morgane and Carole. Every room, every object, reminds them of their childhood, and the memories of the absents - their parents, their neighbors…This compels them to measure the distance that separates them from each other and the roots they share, those of their ground zero. As the world around them is becoming increasingly unsettling, unreality, and even a disturbing strangeness, invades their daily gestures and actions.",105,Suspended Time
tt31015278,"7,8",100,Maryam Moghadam,Maryam Moghadam,"Mahin (70) lives alone in Tehran since her husband’s death and her daughter’s departure for Europe, until an afternoon tea with friends leads her to break her solitary routine and revitalize her love life. But as Mahin opens herself up to new romance, what begins as an unexpected encounter quickly evolves into an unpredictable, unforgettable evening.",97,Keyke mahboobe man
tt31015461,"6,1",none,Nele Wohlatz,Pío Longo,"A coastal city in Brazil. Kai arrives from Taiwan for holidays with a broken heart. A broken air conditioner sends her into Fu Ang's umbrella store. He could become a friend, but the rainy season doesn't arrive and his shop disappears. While looking for Fu Ang, Kai discovers the story of Xiaoxin and a group of Chinese workers in a posh skyscraper. Kai finds herself strangely mirrored in Xiaoxin's tale.",97,Dormir De Olhos Abertos
tt31021862,none,none,Vincent Turner,Robert Sacchi,none,none,12 Million Dollar Movie on Paper
tt31023766,none,none,Angel J Ventura,Angel J Ventura,"Miranda Beckett is an asexual 20-year-old teacher who begins a loving relationship with Mark, the young sexy school janitor who dreams of being a stand-up comedian and prioritizes sexual pleasure over anything else. One night, she is brutally murdered.",72,Internal Bleeding
tt31024127,none,none,none,none,none,none,none
tt31032022,"6,3",none,Kris Budiman,Kris Budiman,none,101,Mendung Tanpo Udan
tt31034089,"5,8",none,Matt Lai,Matt Lai,none,103,Po ke wang zhe
tt31037406,"5,0",none,Damian Wiseman,Damian Wiseman,"Hubie Horton, an aspiring inventor, faces a series of confidence-shaking setbacks, but new friends and inspiration provide glimmers of hope.",none,Born Loser
tt31042192,"9,1",none,VJ Siddhu,VJ Siddhu,none,85,Home Tour - A Bachelor Party
tt31050823,none,none,none,none,none,81,Karl Marx Looks for Fans
tt31052482,none,none,Roman Redzimski,Bernd Alt,none,80,Der eingebildete Kranke - Frei nach Molière ...
tt31066847,none,none,Joseph Mazzaferro,Joseph Mazzaferro,none,93,Edwin and the Ambiguous Door
tt31077560,none,none,Bill Badi,Bill Badi,none,50,My Cannibal Crush
tt31078052,none,none,Damon Foster,Damon Foster,none,none,Of Mummies and Martians
tt31078250,none,none,Isabela Eva,Luiz Augusto Araújo,none,none,Na Cama com Virgínia
tt31079876,"6,6",none,none,none,none,136,Just Pass
tt31100897,"7,1",none,Kajal Arefin Ome,Kajal Arefin Ome,none,161,Osomoy
tt31106318,"8,3",none,James Russell Lingerfelt,James Russell Lingerfelt,none,80,The Worst Love Story Ever
tt31107063,"6,2",none,Justinas Krisiunas,Vaida Baranove,none,105,Draugu lazybos
tt31107546,none,none,Santrell Davis,Todd Tluv Davis,none,0,My Jokes Matter: Volume I
tt31107587,none,none,Santrell Davis,Todd Tluv Davis,none,0,My Jokes Matter: Volume II
tt31108729,none,none,Nugzar Namozali,Radzhab Adashev,none,none,Esimda yôq
tt31109483,"8,4",none,Ihdar Nur,Elvin Miradi,none,112,Keluar Main 1994
tt31109609,none,none,Axel Ramirez,Matteo Linux,none,none,Napoli VS Salernitana XXX: Un derby a luci rosse
tt31110331,"4,9",none,Smeep Kang,Jaswinder Bhalla,none,141,Ajab Gajab Dhamal
tt31114351,none,100,Lamonte Hawley,Lamonte Hawley,Three women search for their friend after she goes missing.,142,Happy Hour
tt31116111,"7,5",none,Kat Rohrer,Kat Rohrer,"Marie Theres (Caroline Peters), a successful doctor, had special plans for her 20th wedding anniversary. Did her husband Alexander (Heikko Deutschmann) really have to break up with her that evening? Yes, he had to. Not only did he have different ideas about the evening but also about his whole life: he wants to be happier, he wants to be free, he does not want Marie Therese in his life anymore. As a result of this unpleasant turn of events, Marie Theres does what any sensible woman in her position would do: she goes for a drink, stumbles into Bigi's (Barbara Spitz) queer bar and meets Fa (Proschat Madani). Fa is fun-loving, spontaneous and unattached. She is open about her love life. Even though the very inhibited doctor isn't Fa's type, she still takes Marie Theres home after a boozy evening. Marie Theres however is too drunk to remember what they did or did not do. As their worlds collide, feelings emerge but nothing is simple. There is no straight path for Marie Theres and Fa!",110,What a Feeling
tt31117022,none,none,none,none,none,120,Yeah Sure || Jarrod A. Freeman
tt31120985,"5,3",none,Pedro Flores Maldonado,Yiddá Eslava,none,95,"¿Ahora Somos 3? Sí, Mi Amor"
tt31122323,"2,4",none,none,none,none,0,Megamind vs. The Doom Syndicate
tt31123139,none,Tim Latterner,Tim Latterner,none,Wooloomooloo,,
tt31123288,"5,6",none,none,none,"After a surprise family trip to Mexico derails Ronnie Anne's birthday plans, she is determined to prove that she's old enough to do her own thing, even if it means confronting an ancient preteen demigod whose angst has apocalyptic potential.",0,Los Casagrande: La película
tt31141345,none,none,James Torrence,James Torrence,none,none,The Nail Shop
tt31124629,none,none,Sanjay Sure,Ankita Gusain,none,111,Bless You
tt31144869,none,none,none,none,none,none,Double Blended
tt31145460,none,none,none,none,none,120,Karl Marx Falls in Love with the Leonidas Zegarra House Museum
tt31150830,"8,9",none,Joseph A. Mckenzie,TanNisha Bailey,none,none,Mr. Misogynistic starring Ron Da Don
tt31151026,none,none,Brian Nguyen,Brian Nguyen,none,106,Paper Plates
tt31151649,none,none,Veronica Kedar,Veronica Kedar,none,97,Day Trippers
tt31156629,none,none,none,none,none,20,Two Sisters
tt31163359,"4,9",none,Phontharis Chotkijsadarsopon,Witthawat Rattanaboonbaramee,none,0,Pee Nak 4
tt31170428,"7,2",none,Marco Spagnoli,Leonardo Barrile,none,90,C'era una volta il Derby Club
tt31171944,"5,1",none,none,none,none,99,Lantrani
tt31180892,"6,0",none,Le Giang,none,none,114,Gap Lai Chi Bau
tt31183193,"4,2",none,none,none,none,none,Miss Merkel - Ein Uckermark-Krimi 2
tt31187732,none,none,none,none,none,none,Ana We Ibn Khalty
tt31194487,"5,7",none,none,none,none,40,Chappelle's Home Team: Donnell Rawlings - A New Day
tt31216410,none,none,Cailun Huang,Chenguang Qian,none,96,Shi shang zui qiang di zi
tt31226996,"9,1",none,VJ Siddhu,VJ Siddhu,none,173,Kodaikanal
tt30877248,none,none,Stanescu Motatu Demetrio Leonidas,Stanescu Motatu Demetrio Leonidas,none,none,Ziarul II
tt30877183,none,none,none,none,none,none,Vaaila Sani
tt30877266,none,none,Stanescu Motatu Demetrio Leonidas,Stanescu Motatu Demetrio Leonidas,none,none,El Periodico II
tt30877269,none,none,Stanescu Motatu Demetrio Leonidas,Stanescu Motatu Demetrio Leonidas,none,none,The Newspaper II
tt30877272,none,none,Stanescu Motatu Demetrio Leonidas,Stanescu Motatu Demetrio Leonidas,none,none,Manolete
tt30877276,none,none,Stanescu Motatu Demetrio Leonidas,Stanescu Motatu Demetrio Leonidas,none,none,El Tornillo
tt30877928,none,none,Joe Benson,Maddi Jackson,none,5,Principality of Sealand
tt30877932,none,none,none,none,none,none,Nuestras Cosas
tt30877958,none,none,Rachel Walshe,Rachel Walshe,none,13,Grando
tt30886637,none,none,Ellie Gravitte,Jenny Gorelick,none,6,Karp
tt30887276,"7,9",none,Francisco Lezama,Francisco Lezama,none,22,Un movimiento extraño
tt30888222,none,none,none,none,none,none,How Did I Get Here
tt30888972,none,none,Mark Kiefer,Mark Kiefer,none,4,Second Best Western
tt30889248,none,none,Satyam Raj,Nimi Kay,none,none,The Key Mistake
tt30894086,none,none,Vicente Niro,Vicente Niro,none,10,T-Zero
tt30894846,none,none,none,none,none,1,"Aye, I"
tt30899854,none,none,Liann Kaye,Liann Kaye,none,none,Seoul Switch
tt30902379,none,none,Jason Wang,Jason Wang,none,4,Bond
tt30923068,none,none,Alfonso Q. Gibson,Gabriela Miranda,none,4,Sweet Deal
tt30923126,none,none,George Popi,Matt Brown,none,none,Dinner Reservations
tt30923639,none,none,Matthew Marquise,Makinley Marquise,none,none,Andy Crashes Christmas
tt30927449,none,none,none,none,"After an accident, an estranged family must reunite and reconcile to find a way forward.",none,Two Peas in a Pod
tt30933434,none,none,Lizzie Green,Lizzie Green,none,none,Dallas & Delilah
tt30946384,none,none,Amy Fan,Grant Gelvin,none,none,MEAT CuTe
tt30948133,none,none,Ben Van de Mark,Ben Van de Mark,none,25,Live Combat
tt30949395,none,none,none,none,none,19,George
tt30955465,none,none,Alec Rosinski,Will Bricca,none,15,Philadelphia's #1 Fan
tt30956737,none,none,Shaun Paul Costello,Shaun Paul Costello,none,none,Destination: Hollywood
tt30957625,none,none,Konrád Kozlík,Konrád Kozlík,none,3,All In
tt30961976,none,none,Alessio Aliprandi,Alessio Aliprandi,none,none,Lonely Christmas Together
tt30967499,none,none,none,none,A young man fights to survive his time in captivity.,8,Looking Out
tt30971796,none,none,George Lott,George Lott,A young Black businesswoman and a real estate agent decide to risk it all and rob a casino.,none,The Last Bet
tt30971938,none,none,Kavita Parekh,Jim deProphetis,A female crime boss finds that loyalty is fleeting when she lands in FBI custody.,8,The Setup
tt30972128,none,none,Boris Begard,Boris Begard,none,none,Feuck
tt30974954,none,33,Jon Cohen,Jon Cohen,A woman comes up with a plan to break her family curse of every first marriage ending in divorce. She finds a stranger to tie the not with before marrying her boyfriend.,none,The Perfect Plan
tt30976956,none,none,Jon Cohen,Henry Atkinson,none,none,Set Death
tt30979497,none,none,Stanescu Motatu Demetrio Leonidas,Stanescu Motatu Demetrio Leonidas,none,none,"So, You're an Actor, Huh"
tt30982319,none,none,Shivashish Ahuja,Dhar Mann,none,none,Girl Can't Say No to Her Friends
tt30982373,none,none,Jack Murillo,Radek Lord,none,5,Unbelievable
tt30982663,none,none,Samip Raval,Samip Raval,none,13,The Entire Lifespan of a Mayfly
tt30983266,none,none,none,none,none,14,Bad Alexa
tt30983331,none,none,Brian Sene Marc,Brian Marc,none,15,Grown F*cking Kids
tt30983503,none,none,Robert Rabanal,Robert Rabanal,none,13,Bienvenidos
tt30983601,none,none,Jennifer A. Goodman,none,none,none,Theater Acting
tt30984394,none,none,Josh Park,Josh Park,none,23,Premium Casket
tt30988664,none,none,Tatiana Alexeeva,Tatiana Alexeeva,none,none,Cloudy with a Chance of Hot Potatoes
tt30988695,none,none,Kieran Cook,Kieran Cook,none,none,¿Will llegó a tiempo?
tt30989136,none,none,Alicia Ontiveros,Alicia Ontiveros,A top Wall Street stockbroker (Robert LuPone) spends a risky weekend with a Times Square stripper (Sally Kirkland) on the run.,5,High Stakes
tt30989350,none,none,none,none,A sociopath meets a victim in a bar.,16,Dirty Talk
tt30990079,none,none,Nikoleta Leousi,Nikoleta Leousi,none,19,Non-essential Movement
