id_imdb,score_imdb,score_rt,director_imdb,screenriters_imdb,plot_rt,duration_imdb,title_imdb
tt31227588,"4,7",none,Ryan Puno,Red Ollero,"In his first major stand-up special, irreverent comedian Red Ollero takes aim at fast food, awkward sex and the trouble with being not-quite-famous.",72,Red Ollero: Mabuhay Is a Lie
tt31236731,none,none,Federico Badia,Emiliano Cisneros,none,92,El Banquete - Deseos Impunes
tt31240702,"6,0",none,Bobby Bonifacio Jr.,Juvy Galamiton,none,105,Salitan
tt31241854,"8,9",none,Benjamin Vomastek,Benjamin Vomastek,none,0,Rosetta Stoned
tt31250810,none,none,Liam Aiken,Liam Aiken,none,none,ChickenMan
tt31259230,"5,7",none,none,none,none,75,Gender Agenda
tt31259343,"7,5",none,none,none,none,none,Kyle Kinane: Dirt Nap
tt31259664,none,none,Ólöf Birna Torfadóttir,Ólöf Birna Torfadóttir,none,90,Topp 10 Möst
tt31252311,"5,3",none,none,none,none,113,Worst of Woke Awards 2024
tt31261135,none,none,Fatt Yeow Chew,Eric Chen,none,97,Happy Dragons
tt31262460,none,none,Hao Zhang,Duo Ba,none,none,Si Ping Jing Shi Zhi Zuan Shi Da Jie an
tt31307503,none,none,Ümit Enes Sanver,Ümit Enes Sanver,none,90,Goodbye 2023
tt31308426,none,none,none,none,none,none,Hotel Bitcoin
tt31308441,none,none,Ainun Ridho,Haikal Damara,none,120,Kartolo Numpak Terang Bulan
tt31308511,none,none,Denis Pavlov,Timur Levchenko,none,85,Koresha
tt31315575,"7,0",none,Kash Villanz,S. Gana,none,158,Curry Mee
tt31315981,none,none,none,62,GrimTrax,,
tt31317495,"8,0",none,Simone Riccioni,Fabrizio Bozzetti,none,none,Neve
tt31322879,none,none,Gordon DelGiorno,Matt Del pizzo,none,120,The Canfather
tt31380899,none,none,Rich Allen,Larry Bryggman,none,none,Poems Without Words
tt31389006,none,none,none,none,none,none,Papu mame zavernite
tt31381731,none,none,Uttar Kumar,M.N. Rahi Akela,none,157,Guru Chela
tt31391056,"7,4",none,none,none,A man (Rod Taylor) plots with con artists and a mobster's mistress (Britt Ekland) to empty the mobster's Swiss bank account.,122,Hot Spot
tt31392191,none,none,none,none,none,100,Tunis Djerba
tt31392386,none,none,none,none,none,74,A Party for Karl Marx
tt31407169,"4,2",none,Shwan Attoof,Mahir Hasan,none,100,Love in the Time of Corona
tt31408343,none,none,none,none,none,0,Masameer Junior
tt31410956,"8,6",none,none,none,"A carefree youngster from a small town meets an assertive girl on a bike ride. What happens when true intentions are revealed? Will the trip change their lives better, good or worse?",115,Nalla Perai Vaanga Vendum Pillaigale
tt31414473,"7,8",none,none,none,none,125,Babu (No.1 Bullshit Guy)
tt31415428,"9,4",none,Omar Mouallem,Omar Mouallem,none,44,Making Kayfabe
tt31414775,none,none,none,none,none,83,Walk in the Woods 2: The F**kin' Prequel
tt31415403,none,none,none,none,none,none,El Heredero
tt31428084,"7,0",none,Yahayra Garrido,Maria Paulina Camejo,none,83,Mi Perfecto Ex
tt31418394,"7,2",none,none,none,"From embracing his inner hater to the rigid rules of masculinity, comedian Brian Simpson goes full throttle in this unfiltered stand-up special.",70,Brian Simpson: Live from the Mothership
tt31433262,"7,2",none,none,none,"The old man’s back -- out of the clubs, onto the screen, comedian Dave Attell brings it hard in this rapid-fire, no-holds-barred performance.",0,Dave Attell: Hot Cross Buns
tt31433739,none,none,none,none,A track star (Harrison Butler) seeks help from a therapist (Kevin Kolack) after a hazing incident.,none,False Start
tt31435642,"5,6",none,none,none,"Three scientists arrive at a village in search of treasure, but the plan turns upside down when they discover black magic in the village.",150,Om Bheem Bush
tt31435731,none,none,none,none,none,96,Follow Bear to Adventure
tt31440643,"7,3",none,José Antonio Varela,José Antonio Varela,"Julia, a 33-year-old woman, is optimistic and strong. She looses her job the same week she is evicted. Her best friend gets her a job as a stripper, where she meets Ricardo, a successful divorce lawyer. Neither suspect that life will change forever.",90,Julia tiene Sugar
tt31444990,"3,6",none,Michal Wegrzyn,Kacper Szymon,none,90,Jak ukradlem 100 milionów
tt31445251,none,none,Thomas Pace,Thomas Pace,none,109,Get Over Yourself
tt31444715,none,none,Devon Oman,Devon Oman,none,none,GOREphers: Final Gnaw
tt31455374,"8,9",none,none,none,none,none,Manasa Vacha
tt31456622,none,none,Persefani,Persefani,none,none,Megalo (Or Tragic Comedy Acts of a Gen Z Megalomanaic)
tt31462825,none,none,Anand Bhatt,Anand Bhatt,none,81,Raja 420
tt31459202,none,none,Kaamel Hasaun,Kaamel Hasaun,none,none,Master Dragon
tt31464957,none,none,Nehal Dutta,Sudip Das,none,108,Daroga Mamur Kirti
tt31471972,none,none,Eric Cerisano,Eric Cerisano,none,73,Can't Miss the Previews!
tt31474549,none,none,Merei Mahanov,Murat Amantai,none,90,My genie: secret wishes
tt31487517,none,none,Erwin van den Eshof,Twan Kuyper,none,none,Love Fail Repeat
