id_imdb,score_imdb,score_rt,director_imdb,screenwriters_imdb,plot_rt,duration_imdb,title_imdb
tt31490705,none,none,Jason Katz,Felicia Madison,none,48,Felicia Madison: Better Than Sex
tt31491482,none,none,none,none,,none,none
tt31491335,"3,9",none,Giancarlo Doronzo,Condotta Daniele,none,none,Per un pugno di like
tt31492821,none,none,none,none,none,0,Zen Fist
tt31493032,none,none,none,none,none,none,Arbor Day 3 - Flag Day
tt31498843,"4,9",none,Gianluca Mattei,Monica Assante di Tatisso,none,none,Dobbiamo stare vicini
tt31493788,none,none,RajSivaraj,none,none,113,Dak Dik Dos
tt31500876,none,none,Marcus Raboy,Garrett Gunderson,none,none,Garrett Gunderson: The American Ream
tt31501181,none,none,Alexander Sandoval Tapia,Alexander Sandoval Tapia,none,0,Alex and Mia's Awesome Movie!!
tt31501370,"6,8",none,Rosdi Md. Dali,Atikah Suhaime,none,95,Tan-Ti-Ana
tt31502279,"9,2",none,none,none,none,104,Sharma & Ambani
tt31511272,none,none,Kwame Broni,Kwame Broni,none,138,Kwame Atta
tt31511375,"9,8",none,Samantha Hindman,Kunt,none,none,Shannon Matthews the Musical the Movie
tt31513446,none,none,Adam Thorn,Janice Click,none,none,Farces of Death
tt31513891,"8,6",none,none,none,none,107,Good Luck
tt31519225,none,none,Loren Howard,Loren Howard,none,85,Custodian (The Tragedy of Trav Cone)
tt31520090,"5,6",none,none,none,none,none,Kral Sakir: Devler Uyandi
tt31520182,none,none,Marvin-Lee Beukes,Bouwer Bosch,none,none,Frankie & Felipé
tt31523165,none,none,George Anton,Joel Harkham,none,0,Dorothy Forever
tt31528317,"8,1",none,Eric Bu,Camille Bardery,none,70,Extra Lucie
tt31529563,none,none,none,none,none,none,Temos Vagas
tt31530358,"7,6",none,Joel Haver,Joel Haver,none,95,Anyone Else But Me
tt31529833,none,none,Baisakalov Tulepbergen,Talgatbek Abishev,none,none,Sophiya
tt31540006,none,none,JR Reyes,Erwin Blanco,none,130,Pagpag 24/7
tt31540023,none,none,none,none,A drama about a dysfunctional functioning family.,none,Kinfolk
tt31524311,none,none,Richard Jamze,Richard Jamze,"A boy (Benjamin ""Lil P-Nut"" Flores Jr.) and his cousin use video equipment to catch Santa Claus at work during the holidays.",97,Santa Hunters
tt31547367,none,none,Zeb Haradon,Zeb Haradon,none,80,The Eternal Recurrence
tt31556617,"7,0",none,Radu Potcoavã,Radu Potcoavã,none,86,Baietii buni ajung în Rai
tt31565856,none,none,Taurean Royal,Taurean Royal,none,none,Black Game Night
tt31565877,none,none,Abdul T. Sesay,Abdul T. Sesay,none,0,The Pushover
tt31566217,"8,3",none,Heybert Flex,David Flynt,A time traveler needs help returning to the year 2005 to save the world from weapons of mass destruction.,88,Back to 2005
tt31566895,"2,6",none,none,none,none,149,SangharshYoddha Manoj Jarange Patil
tt31589678,none,none,Jermaine Williams,Jermaine Williams,none,none,Easy Paper
tt31565654,"5,2",none,none,none,Two newlyweds on their honeymoon discover that they are different in almost every way — but can these opposites attract?,0,Luna sin miel
tt31580017,none,none,Yuuji Nomura,Yuuji Nomura,,0,Cat Pupa
tt31595145,none,20,Sebastian Badarau,Sebastian Badarau,"After his childhood love (Leonor Baldaque) agrees to marry his friend, a man seeks comfort in the arms of a seductive madam (Leonor Silveira).",89,The Uncertainty Principle
tt31597882,none,none,none,none,none,45,Nicole Miller - Okayest Mom!
tt31593469,none,none,Jakari Reed,Jimmie Parker,none,none,1 Bad Azz Day
tt31595079,none,none,Jason Dbks Hampton,Jason Dbks Hampton,none,none,P.U.A (Pandemic Unemployment Assistance)
tt31590684,"6,1",none,none,none,"A group of friends gathers for regular weekend parties, but the lights briefly go out on one such occasion. The group hears the sound of a kiss followed by someone getting slapped.",125,Alibaba Aani Chalishitale Chor
tt31598433,none,Kentral Williamson,Kentral Williamson,56,4GUYS&ACABIN,,
tt31606062,"6,5",none,none,none,none,121,Lineman
tt31613325,"6,0",none,none,none,,112,Jeonde Raho Bhoot Ji
tt31614338,none,none,Mikko Pohjola,Jarno Kovamäki,none,48,Vakoojakoulun Varamiehet
tt31630270,"6,4",none,Alexandre Klemperer,R.B. Diogo,none,none,Só no Sertão
tt31630255,none,none,Tony Oppedisano,Don Rickles,none,61,Don Rickles Live at Pala
tt31629757,"6,7",none,none,none,"Four drag queens, booked at the wrong venue, manage to win over an unfriendly crowd when they become the dive bar's defenders against a vampire attack.",99,Slay
tt31631535,none,none,Mitsuhito Shiraha,Kosho Nakashima,none,114,"Be My Guest, Be My Baby"
tt31637617,"8,3",none,Mario Siordia,Mario Siordia,none,105,Un día en Culiacán
tt31638129,none,none,Ryan Cavalline,Ryan Cavalline,none,117,Inherited Scars
tt31107245,none,none,Taylor Deville,Taylor Deville,none,none,Working Title
tt31108115,none,none,none,none,none,15,Glad you're Out
tt31110002,none,none,none,none,none,none,Driving Mercedes
tt31110413,none,none,Nicolas Neuhold,Nicolas Neuhold,none,8,Thatch to the Future
tt31112736,none,none,Andrea Zile Bish,Andrea Zile Bish,"This documentary chronicles the brilliant career of Eric Dolphy, a multi-talented jazz musician who rose to prominence during the 1960s. Interviews with those close to him -- including family members, friends and music teachers -- paint a picture of a gifted young man fortunate enough to know his dream from an early age, who wasn't about to let obstacles stand in his way. The film also includes performance footage of Dolphy showing his occasionally unconventional approach to his music.",10,Last Date
tt31113016,none,none,Andrea Zile Bish,Andrea Zile Bish,none,none,Tow Zone
tt31113154,none,none,Jamie Ker,Jamie Ker,none,12,The Book at the End of the World
tt31113118,none,none,John Kestner,John Kestner,"Hoping to enjoy retirement, a man (Danny DeVito) takes drastic measures to get his two grown sons (Ryan Hansen, Skyler Stone) to move out.",none,Housebroken
tt31113446,none,none,Ryan Michael Hoskins,Ryan Michael Hoskins,"An allegorical tale of a South American city where ""sick"" residents are quarantined in camps by the government.",11,The Plague
tt31113690,none,none,Zo Zosak,Isaac Jennings White,none,none,Follow Em
tt31113371,none,none,Jared Douglas,Jared Douglas,"A day in the life of a 12-year-old Brazilian boy, one of a family of 10 living on a squalid, impoverished hillside across the bay from Rio de Janeiro.",11,Flavio
tt31114322,none,none,Rhys J Boughton,Rhys J Boughton,none,3,Alligator Springs
tt31114344,"8,3",none,Michael Glover Smith,Michael Glover Smith,"An oil worker has a difficult time relating to his adopted son after his wife dies. In desperation, he takes his son on a trip to Colombia to find his biological mother.",8,Handle with Care
tt31114405,none,none,Celine Sutter,Yoko Kohmoto,none,11,"Well, I Should Get Going"
tt31114554,none,none,Robby Kendall,Robby Kendall,none,24,(Un)Free Will
tt31114806,none,none,Tracy Lauren Locke,Tracy Lauren Locke,"William Conrad narrates disaster footage: the Hindenburg (1937), Hurricane Camille (1969), the Andrea Doria (1956), Mount Etna.",none,CATastrophe
tt31115299,none,none,Radomir Jordanovic,Radomir Jordanovic,none,none,Coke Bricked
tt31115334,none,none,Ronja Tammenpää,Ronja Tammenpää,none,none,Plastic Fantasy
tt31115864,none,none,Julia Malinbaum,Garance Bocobza,none,none,Pas Dominique
tt31116489,none,none,Lucas Thorley,Lucas Thorley,none,4,The Un-Dunkable Experiment
tt31116746,none,none,Eléonore Bianchi,Eléonore Bianchi,none,none,Kawouette
tt31117203,none,none,Julie Mayhew,Julie Mayhew,"Divorced lawyers (Christine Lahti, Terry O'Quinn) reunite to represent a baseball player (Adam Trese) in a lawsuit against a tobacco giant.",2,The Good Fight
tt31117214,none,none,Sophie Perron,Sophie Perron,none,none,Feu à volonté
tt31117342,none,none,Eric da Costa,Eric da Costa,none,none,Carambriolage
tt31121359,none,56,Gabriel Mirété,Gabriel Mirété,"Perpetual man-child Mike (Jon Tenney) breaks up with his mature, pretty girlfriend, Anne (Suzy Amis), but doesn't have to dwell on it, thanks to Danny (Tom Sizemore) and Rick (John C. McGinley), both of whom share his immaturity and fear of emotional intimacy. Roommates in a Chicago house, they play an ongoing game called ""Watch It!"" involving pranks. But ""Watch It!"" stops being harmless fun when Mike's more soulful cousin, John (Peter Gallagher), moves in and takes an interest in Anne.",none,Watch it
