actor_name,birth_year,known_for,actor_role,actor_awards
A.J. Laird,0,"Through Eyes of Grace, Chicago P.D.","Reparto,  Diseño de producción","Couch Film Festival, Wildwood Film Festival, US"
Steve Piper,1969,"M3ntal State, Chicago P.D.","Reparto,  Equipos adicionales",Couch Film Festival
Catalina Ariel,0,"Where Is She?, Relationships","Reparto,  Dirección de arte,  Arte",0
Brian Naydol,0,"The Barlow House, Tread This Fantasy","Guion,  Dirección,  Producción",0
Jada Krueger,0,0,Reparto,0
Cailey Fleming,2007,"The Walking Dead, Star Wars: El despertar de la Fuerza","Reparto,  Banda sonora","CinEuphoria Awards, Blue Whiskey Independent Film Festival"
Ryan Reynolds,1976,"Deadpool, Buried","Reparto,  Producción,  Guion","Academy of Science Fiction, Fantasy & Horror Films, USA, Critics Choice Awards"
John Krasinski,1979,"Un lugar tranquilo, The Office","Reparto,  Producción,  Dirección","Academy of Science Fiction, Fantasy & Horror Films, USA, Bram Stoker Awards"
Fiona Shaw,1958,"Harry Potter y la piedra filosofal, Los vengadores","Reparto,  Equipos adicionales,  Banda sonora","BAFTA Awards, British Independent Film Awards"
Steve Carell,1962,"Virgen a los 40, Foxcatcher","Reparto,  Producción,  Guion","Academy Awards, USA, American Comedy Awards, USA"
Olivia d'Abo,1969,"La asesina, Star Wars: El ascenso de Skywalker","Reparto,  Música,  Producción","Razzie Awards, Behind the Voice Actors Awards"
Kelli Maroney,0,"La noche del cometa, ""Ryans Hope""","Reparto,  Producción",0
Laurene Landon,0,"Aterriza como puedas II, Yo, el jurado",Reparto,"Top Indie Film Awards, Independent Horror Movie Awards"
Tracee Cocco,0,"Staycation, The Last Battleship","Reparto,  Especialistas","Indie Short Fest, IndieX Film Festival"
Sean Kenney,0,0,Reparto,"Indie Short Fest, IndieX Film Festival"
Chronox,0,0,Reparto,0
Liara Deia,0,0,"Reparto,  Dirección de arte,  Dirección de casting",0
Gwyneth Irene,0,0,Reparto,0
Jenniefs,0,0,Reparto,0
Davina Jereni,0,0,Reparto,0
Jason Sudeikis,1975,"Somos los Miller, Colossal","Reparto,  Guion,  Producción","American Comedy Awards, USA, Critics Choice Awards"
Rainn Wilson,1966,"Super, Dulces criaturas","Reparto,  Producción,  Guion","Daytime Emmy Awards, Primetime Emmy Awards"
RuPaul,1960,"RuPaul: Reinas del Drag: All Stars, ""But Im a Cheerleader""","Producción,  Reparto,  Música","BAFTA Awards, Critics Choice Awards"
Charlie Adler,1956,"Transformers, Transformers: La venganza de los caídos","Reparto,  Equipos adicionales,  Dirección de casting","Annie Awards, Daytime Emmy Awards"
Anitta,1993,"""Anitta: Boys Dont Cry"", Anitta: Funk Rave","Music Artist,  Reparto,  Música","Grammy Awards, ""Peoples Choice Awards, USA"""
Billy Zane,1966,"The Phantom, Regreso al futuro: Parte II","Reparto,  Producción,  Dirección","B-Movie Film Festival, Blockbuster Entertainment Awards"
Jonathan Rhys Meyers,1977,"Vikingos, Los Tudor","Reparto,  Producción,  Banda sonora","Cannes Film Festival, Primetime Emmy Awards"
Debi Mazar,1964,"Beethoven 2: La familia crece, El dilema","Reparto,  Maquillaje,  Producción","Monte-Carlo TV Festival, Screen Actors Guild Awards"
Aidan Quinn,1959,"Mi primer amor, Leyendas de pasión","Reparto,  Producción,  Dirección","Blockbuster Entertainment Awards, CableACE Awards"
Mara Lane,0,"Operación en Damasco, The Brink","Reparto,  Producción",0
Auli'i Cravalho,2000,"Ralph rompe Internet, Chicas malas","Reparto,  Producción,  Banda sonora","Annie Awards, Imagen Foundation Awards"
Dwayne Johnson,1972,"Jumanji: Bienvenidos a la jungla, Viaje al centro de la Tierra 2: La isla misteriosa","Reparto,  Producción,  Guion","Acapulco Black Film Festival, Critics Choice Awards"
Alan Tudyk,1971,"Firefly, Yo, robot","Reparto,  Producción,  Guion","Annie Awards, Primetime Emmy Awards"
Nicole Scherzinger,1978,"Men in Black 3, Los 4 Fantásticos y Silver Surfer","Music Artist,  Reparto,  Composición","National Television Awards, UK, Teen Choice Awards"
Pekka Luodeslampi,0,"Hello Au Revoir, Hillary Hawkins: You Can Do It!",Reparto,0
Courtney McCrea,0,Penciltale,Reparto,0
Aaro Alhonen,0,0,Reparto,0
Michael Majalahti,1973,"Rendel, ""We Dont Say Retard Anymore""","Reparto,  Guion",0
Daniel Vanrell,0,"Volviendo a Casa: Esperanza, Unidad 23: Recargada",Reparto,0
Juanjo Martínez,0,"Corazones en llamas, Cuadras Largas","Guion,  Producción,  Edición",0
Ariel Li Gotti,0,"Corazones en Llamas: Fuego Cruzado, Historias de Hotel",Reparto,0
Raul Perez,0,"Historias de Hotel, Asesina Aprendiz",Reparto,0
Laura Gorosito,0,"Unidad 23, Corazones en Llamas 3",Reparto,0
Ambre Anderson,0,"La supervivencia de una chica con curvas, Never Would Have Made It: The Marvin Sapp Story","Reparto,  Música,  Producción","Scare Fest Horror Convention, World Film Festival in Cannes"
Hillary Hawkins,0,"""Sherris Black Sin"", A Taste of Revenge","Reparto,  Guion,  Dirección","Voice Arts Awards, Brightside Tavern Film Festival"
Chantal Maurice,0,"P-Valley, Dos balas muy perdidas","Reparto,  Guion,  Producción","International Black Film Festival of Nashville, Seoul Web Fest"
Shiek Mahmud-Bey,0,"No me chilles, que no te veo, Buffalo Soldiers","Reparto,  Producción,  Dirección",0
Aixa Kendrick,0,"Hermanísimas, The Company You Keep","Reparto,  Guion,  Dirección de la segunda unidad o asistencia a dirección",0
Paul Dawber,0,0,Reparto,Maverick Movie Awards
Nathan Hill,0,0,"Reparto,  Producción,  Dirección","Continental Film Festival, Melbourne Underground Film Festival"
Will Hutchins,0,"Red Belly, Sparks Underwater","Reparto,  Producción,  Guion",0
Sean Millis,0,0,Reparto,0
Kevin Dee,0,"Underbelly, The Minority Vs Baby Steve: Sabotage","Reparto,  Producción,  Guion","Eerie Horror Fest, Horrible Imaginings Film Festival"
Henry Cavill,1983,"Batman v Superman: El amanecer de la justicia, Liga de la Justicia","Reparto,  Equipos adicionales,  Producción","Academy of Science Fiction, Fantasy & Horror Films, USA, Critics Choice Awards"
Daniel Singh,0,"Objetivo: Washington D.C., 24: Vive otro día",Reparto,0
Dua Lipa,1995,"Alita: Ángel de combate, Argylle","Music Artist,  Reparto,  Composición","Bambi Awards, Brit Awards"
Ariana DeBose,1991,"Wish: El poder de los deseos, Hamilton","Reparto,  Dirección,  Guion","Academy Awards, USA, BAFTA Awards"
Richard E. Grant,1957,"¿Podrás perdonarme algún día?, El gran Halcón","Reparto,  Dirección,  Guion","Academy Awards, USA, Boston Society of Film Critics Awards"
Trinity Somerset,0,"Strange Journey, KinitoPET",Reparto,0
Ryan J. Austin,0,"Restaurant, Internet Insanity: Violence","Producción,  Dirección,  Guion",0
Atvty,0,0,Reparto,0
Stephen J. Hooker,0,"Worst Agents Ever, My Awkward Youth","Reparto,  Guion,  Dirección",0
Zooey Deschanel,1980,"(500) días juntos, Trolls","Reparto,  Producción,  Música","American Comedy Awards, USA, Annie Awards"
Zachary Levi,1980,"Chuck, Enredados","Reparto,  Producción,  Dirección","Academy of Science Fiction, Fantasy & Horror Films, USA, Critics Choice Awards"
Jemaine Clement,1974,"Lo que hacemos en las sombras, Men in Black 3","Reparto,  Guion,  Producción","Annie Awards, ASCAP Film and Television Music Awards"
Alfred Molina,1953,"Frida, Boogie Nights","Reparto,  Producción,  Dirección","Academy of Science Fiction, Fantasy & Horror Films, USA, ALMA Awards"
Camille Guaty,0,"Prison Break, Cake","Reparto,  Producción,  Banda sonora",0
Ellie Stewart,0,"Residence, Surrogate",Reparto,"Conocido/a por, Más de esta persona"
Matt Mirams,0,"The Grand Scheme, Scams Incorporated","Guion,  Producción,  Dirección","Canberra Short Film Festival, Melbourne Underground Film Festival"
Tim Spriggs,0,0,"Reparto,  Banda sonora,  Producción",0
James Mason,0,"Playing for Keeps, ""Ms Fishers Modern Murder Mysteries""","Reparto,  Producción,  Dirección de la segunda unidad o asistencia a dirección","Logie Awards, The Equity Ensemble Awards"
Ian Smith,1938,"Prisoner, Underbelly","Reparto,  Producción,  Guion y continuidad",Logie Awards
Henry Golding,1987,"The Gentlemen: Los señores de la mafia, Snake Eyes: el origen","Reparto,  Producción","National Board of Review, USA, Screen Actors Guild Awards"
