actor_name,birth_year,known_for,actor_role,actor_awards
Karen Barredo,0,"Go Back Home!, Ask Me A Question",Reparto,0
Emma Cavell,0,"Kingsman: El círculo de oro, Yes! Recruitment","Reparto,  Efectos visuales,  Dirección de la segunda unidad o asistencia a dirección",0
Monika Chasi,0,"Clark, Right Move","Reparto,  Producción",0
Guglielmo Maria D'Avino,0,"Sounds Like A Great Project!, Il Cazzo Che Ti Pare","Reparto,  Música",Southern Shorts Awards
Carys G. Daroy,0,Ask Me A Question,Reparto,0
Ra Mi-ran,1975,"Sympathy for Lady Vengeance, Hope",Reparto,"Grand Bell Awards, South Korea, Baek Sang Art Awards"
Gong Myoung,1994,"Honsoolnamnyeo, Habaekui Shinboo","Reparto,  Composición","Grand Bell Awards, South Korea, Baek Sang Art Awards"
Yeom Hye-ran,1976,"A la caza de espíritus malignos, La chica enmascarada",Reparto,"Grand Bell Awards, South Korea, Baek Sang Art Awards"
Park Byeong-eun,1977,"The Yellow Sea, Seobok",Reparto,0
Jang Yoon-ju,1980,"Three Sisters, Bailarina",Reparto,"Grand Bell Awards, South Korea, Baek Sang Art Awards"
Natsuki Hanae,1991,"Guardianes de la noche - Kimetsu no Yaiba - La película: Tren Infinito, Starmyu","Reparto,  Música,  Equipos adicionales","Crunchyroll Anime Awards, Anime Trending Awards"
Kengo Kawanishi,0,"Aldnoah.Zero, Naruto: Shippûden","Reparto,  Banda sonora",Anime Trending Awards
Akari Kitô,0,"Guardianes de la noche - Kimetsu no Yaiba - La película: Tren Infinito, Kyokou Suiri","Reparto,  Música,  Banda sonora",Anime Trending Awards
Yoshitsugu Matsuoka,1986,"Guardianes de la noche - Kimetsu no Yaiba - La película: Tren Infinito, Hakata Tonkotsu Ramens","Reparto,  Música,  Arte",Anime Trending Awards
Hiro Shimono,0,"Ataque a los titanes, End of Eternity","Reparto,  Banda sonora",Anime Trending Awards
Shakib Khan,1979,"Bhalobaslei Ghor Bandha Jay Na, Khodar Pore Ma","Reparto,  Producción,  Dirección","National Film Awards, Bangladesh"
Mimi Chakraborty,1989,"Baazi, SOS Kolkata",Reparto,0
Chanchal Chowdhury,0,"Monpura, Hawa","Reparto,  Música","National Film Awards, Bangladesh"
Masuma Rahman Nabila,0,"Toofan, Aynabaji Original Series",Reparto,0
Yuri Kolokolnikov,1980,"Tenet, El otro guardaespaldas","Reparto,  Producción","Nika Awards, SUBTITLE European Film Festival"
Daniil Vorobyov,1981,"Riviera, Posledniy ronin","Reparto,  Guion",Riviera International Film Festival
Tikhon Zhiznevskiy,1988,"Posledniy ronin, Mayor Grom. Igra",Reparto,0
Diana Enakaeva,0,"Cosmoball, ""A Killers Mind""",Reparto,0
Aleksandr Mizev,1991,"Sansara, Masha",Reparto,0
Alexander Sandoval Tapia,0,"Cacophony the Animated Series, Max COOL Show!","Dirección,  Reparto,  Animación",0
Pradeep Raj,0,"Target India, Prayag",Reparto,0
Satyakam Anand,0,"Sherni, Lets Fly with My Paper Rocket","Reparto,  Producción",0
Mahesh Balraj,1975,"Haider, PK","Reparto,  Casting,  Equipos adicionales",0
Ashutosh Sagar,0,"Ek Battey Do, Love Way","Reparto,  Dirección,  Guion",0
Peter Pham,0,"Vo Sinh Dai Chien, Hoa Phong Nguyet Vu","Reparto,  Especialistas,  Dirección",0
Silvio Simac,1973,"DOA: Dead or Alive, Fairygirl-Origin","Reparto,  Producción,  Especialistas","New York International Film Awards, Andromeda Film Festival"
Simon Kook,0,"Ip Man 3, The Great Escape","Reparto,  Especialistas",0
Ado Dulas,0,"Elephant Stomp, The Magnetic Fighters","Reparto,  Producción,  Dirección",0
Pavel Skliar,0,The Magnetic Fighters,Reparto,0
Joshua Carter,0,"Glitched, The Crypto","Producción,  Guion,  Dirección",0
Jace Carter,0,"The Crypto, House",Reparto,0
Jordyn Barnett,0,0,Reparto,0
Christian Hernandez,0,0,Reparto,0
Blerim Destani,1981,"El último gran día, Etjet e Kosovës","Reparto,  Producción,  Guion",CinEuphoria Awards
Noizy,0,"Noizy Feat. Elgit Doda: Ti Ti, Predz UK - Naughty Naughty","Reparto,  Composición,  Guion",0
Arben Bajraktaraj,1973,"Harry Potter y las Reliquias de la Muerte: Parte 1, Harry Potter y la Orden del Fénix","Reparto,  Producción","MTV Movie + TV Awards, Sarajevo Film Festival"
Flonja Kodheli,0,"Helvetica, Ka Me Kalu","Reparto,  Composición,  Dirección",0
James Biberi,0,"Dead Man Down, Los productores","Reparto,  Producción,  Guion",Hermosa Beach Film Festival
Chen Bo-lin,1983,"Tai bei piao xue, My Airhostess Roommate","Reparto,  Música,  Equipo ejecutivo","Golden Horse Film Festival, Monaco International Film Festival"
Kent Tsai,1997,"Tong Ling Shao Nv, Hei de jiào yù",Reparto,"Golden Horse Film Festival, Taipei Film Festival"
J.C. Lin,1991,"Wo men yu e de ju li, Demon Hunters",Reparto,"Golden Bell Awards, Taiwan, Film Fest International, Nice"
Frederick Ming Zhong Lee,1976,"Tai wan fan zui gu shi, Fly By Night",Reparto,"Taipei Film Festival, Malaysian Film Festival"
Cecilia Choi,0,"Fan xiao, Twilight of the Warriors: Walled In",Reparto,"Hong Kong Film Awards, Hong Kong Film Critics Society Awards"
Alexandre Machafer,0,"Jorge da Capadócia, Anos Radicais","Dirección,  Producción,  Reparto",0
Roberto Bomtempo,1963,"Tolerância, Chamas da Vida","Reparto,  Dirección,  Producción","Brazilia Festival of Brazilian Cinema, Cartagena Film Festival"
Ricardo Soares,0,0,"Reparto,  Dirección de casting,  Dirección","Best Istanbul Film Festival, Vesuvius International Film Festival"
Cyria Coentro,0,"Era Uma Vez..., Velho Chico","Reparto,  Equipos adicionales","Prêmio Qualidade, Brazil, PRODU Awards"
Roney Villela,0,"Meu Nome Não é Johnny, Novo Mundo",Reparto,0
Arpan Das,0,"OMG 2, Tiger está vivo",Reparto,0
Srijla Guha,0,"Banjaara, Aa Aaa Harsaee",Reparto,0
Roy Angana,0,"Chupkotha 2, Noshtoneer",Reparto,0
Ambarish Bhattacharya,0,"Kabir, Raktabeej",Reparto,"""Critics Choice Film Awards, India"""
Kimberly Alcantara,0,"The Man and the Mask, Hide and Seek",Reparto,0
David Calderon,0,0,Reparto,0
Lenzie Chao,0,0,Reparto,0
James Contini,0,0,Reparto,0
Jessie Cruz,0,"Streets, The Man and the Mask","Reparto,  Producción",0
Livania Carnello,0,Bush Knife,Reparto,0
Ashrana Chanderanberg,0,The Bush Knife,"Maquillaje,  Reparto",0
Sandile Dlamini,0,"Bush Knife, Imbewu - The Seed",Reparto,South African Film and Television Awards
Bruce Gounder,0,"Bush Knife, ""Fishs Tale""","Reparto,  Producción",0
Ryan Mayne,0,"The Bush Knife, Bush Knife",Reparto,0
Nalaka Daluwaththa,0,"Me Wage Adarayak, Seema Na Akase",Reparto,0
Kelum Kularathne,0,"Ethalaya, Goree","Reparto,  Guion,  Producción",0
Sheran Peiris,0,0,"Reparto,  Producción",0
Sudeeksha Samadhi,0,Villain,Reparto,0
Sanju Samarasinghe,0,"Villain, Bonikka","Reparto,  Dirección de la segunda unidad o asistencia a dirección",0
Brendan Bean,0,"S.N.S.O.B - Supernatural Squad of Badasses Part 2, Ana & Mia",Reparto,0
Abigail Boyce,0,S.N.S.O.B - Supernatural Squad of Badasses Part 2,Reparto,0
Hugo Diaz,0,"Attraction Man, Sense",Reparto,0
James Douglas Dillon,0,"S.N.S.O.B - Supernatural Squad of Badasses Part 2, ""Its Neate, Evil & Heroic: The Reveal""",Reparto,0
Ashford Kamau,0,S.N.S.O.B - Supernatural Squad of Badasses Part 2,Reparto,0
Edward Chen,1996,"What the Hell Is Love, Xiao zi","Reparto,  Banda sonora","Golden Horse Film Festival, Taipei Film Festival"
Patty Pei-Yu Lee,0,"Mermaid Whispering, Fragmentos del pasado","Reparto,  Banda sonora","Golden Horse Film Festival, Taipei Film Festival"
Alyssa Chia,1974,"Zhi zun hong yan, Wo men yu e de ju li",Reparto,"Golden Horse Film Festival, Chlotrudis Awards"
Michael Jong-Quin Huang,1958,"Van Pao-te, Amensalism",Reparto,"Golden Bell Awards, Taiwan, Chinese Film Media Awards"
Adrián Suar,1968,"Sin código, El puntero","Producción,  Guion,  Reparto","Argentinean Film Critics Association Awards, Clarín Entertainment Awards"
Maggie Civantos,1984,"Antes de la quema, Alan","Reparto,  Producción,  Banda sonora","Fotogramas de Plata, Málaga Spanish Film Festival"
José Eduardo Derbez,1992,"Jaque Mate, Vino el amor",Reparto,Premios TVyNovelas
Tsahi Halevi,1975,"Fauda, HaShotrim","Reparto,  Banda sonora","Awards of the Israeli Film Academy, Accolade Competition"
Charo López,0,"Jaque Mate, Por Ahora","Reparto,  Guion,  Banda sonora",Argentinean Film Critics Association Awards
Meg Fox,0,0,Reparto,0
Sylve Sta,0,0,Reparto,0
Arnold Sw,0,0,Reparto,0
Gustavo Angarita,0,0,Reparto,0
Didier Ante,0,0,Reparto,0
Jhonatan Ante,0,0,Reparto,0
Andrés Benavides,0,0,Reparto,0
Andrés Bustamante,0,0,Reparto,0
Sophia Albarakbah,0,"Saka Perawan, Jiwa 8 Belas",Reparto,0
A. Galak,0,"Sembilu, Mat Kilau: Kebangkitan Pahlawan","Reparto,  Dirección de la segunda unidad o asistencia a dirección,  Especialistas",0
Jalaluddin Hassan,0,"XX Ray II, Absuelto",Reparto,Malaysian Film Festival
Shah Hazvee,0,Balik Kampung Tak Lonely Lagi,Reparto,0
Ikhram Juhari,0,"Polis Evo 2, Malbatt: Misi Bakara",Reparto,0
Antonio Bandera,0,0,Reparto,0
Mel Gib,0,0,Reparto,0
Will Smi,0,0,Reparto,0
Teeradetch Metawarayut,0,"Khaen Rak Salap Chata, Nang Sao Thong Soi",Reparto,0
Chutavuth Pattarakampol,0,"Chinatown Chacha, Hormones",Reparto,0
Ranchrawee Uakoolwarawat,0,"Classic Again, Tricky in Love",Reparto,0
Chookiat Iamsook,0,"Sweet & Sour Revenge, Jukkalan","Reparto,  Dirección,  Guion",0
Thongthong Mokjok,0,"Waan Jai Yai Thaang Dao, Plon naya",Reparto,0
Aaron Kwok,1965,"Fu zi, Chun sing gai bei","Reparto,  Música,  Banda sonora","Golden Bauhinia Awards, Golden Horse Film Festival"
Richie Jen,1966,"Foh lung, Fei Ying","Reparto,  Dirección,  Guion","Hong Kong Film Awards, Puchon International Fantastic Film Festival"
Ka-Tung Lam,1967,"Juego sucio, Limbo","Reparto,  Producción,  Guion","Golden Bauhinia Awards, Golden Horse Film Festival"
Maggie Ho-yee Cheung,1970,"Di ya cao, Oi ngo bit jow","Reparto,  Banda sonora",0
Suet Lam,1964,"PTU, Na yeh ling san, ngoh choh seung liu Wong Gok hoi mong Dai Bou dik hung Van","Reparto,  Dirección de producción,  Equipos adicionales","Golden Bauhinia Awards, Golden Horse Film Festival"
Bruce Will,0,0,Reparto,0
Chan Davis,0,"Lets Go: A New Vintage Story, The bullet to the ballot","Dirección,  Guion,  Reparto",0
Cha Johnson,0,0,Reparto,0
Lael Mathis,0,0,Reparto,0
Martha Simmons,0,0,Reparto,0
Dennis White,0,"The Bullet to the Ballot 2, Lets Go: A New Vintage Story","Reparto,  Dirección de fotografía y cámara",0
Yami Gautam,1988,"Vicky Donor, Uri: The Surgical Strike",Reparto,"Filmfare Awards, Awards of the International Indian Film Academy"
Mohan Agashe,1947,"Toofaan, Rang De Basanti","Reparto,  Producción,  Composición","Filmfare Awards, National Film Awards, India"
Sukhita Aiyar,0,"Aarya, Srikanth",Reparto,0
Raj Arjun,0,"Thalaivi, Raees",Reparto,"Filmfare Awards, Zee Cine Awards"
Essence Adam,0,0,Reparto,0
Gary Bell,0,0,Reparto,0
Gary Brown,0,0,Reparto,0
Ethan Clark,0,0,Reparto,0
Charles A. Conley,0,"All I Think About is Revenge, Rap A Thon","Reparto,  Edición,  Dirección de fotografía y cámara",0
Miao Xie,0,"Mi padre es un héroe, Da meng xi you",Reparto,0
Enyou Yang,0,"Tian Tang Lv Xing Tuan, Jiao huan ren sheng",Reparto,"Golden Rooster Awards, Hundred Flowers Awards"
Tao Huang,0,"Huo guo ying xiong, Da ying jia",Reparto,0
Kuishan Pei,0,"Lü de shui, Ban ge xi ju",Reparto,0
Pema Jyad,0,"Hua Mulan, Bystander",Reparto,0
Matshepo Maleme,0,"House of Zwide, iNkaba",Reparto,South African Film and Television Awards
Jeffrey Sekele,0,"House of Zwide, Strike Back",Reparto,0
Joey Hensen,0,"Sour Milk, Operation",Reparto,0
Josephine Zukiswa,0,0,Reparto,0
Phistus Maake,0,0,Reparto,0
Liam Reeves,0,0,Reparto,0
Kean Revil,0,0,Reparto,0
Amir,0,0,Reparto,0
Talha Kemiksiz,0,0,"Dirección,  Reparto,  Guion",0
Umeyr Kemiksiz,0,0,Reparto,0
Taner,0,0,Reparto,0
Tansel,0,0,Reparto,0
Nikia Briggs Kia B,0,"""One Womans Trash"", Hittin Licks","Reparto,  Producción,  Dirección de casting",0
Chris Ballinger,0,"The Rise, Fall, and Rerise of Lithium Phoenix, Method to the Madness",Reparto,0
Joshua J. Black,0,0,Reparto,0
Nathan Bradford,0,"Self-Defence, Dead Con","Reparto,  Cámara y electricidad,  Edición",LA Shorts Awards
Leila Brown,0,Get Close,Reparto,0
Mayur Chauhan,0,"Friend Zone, Saiyar Mori Re",Reparto,0
Jagjeetsinh Vadher,0,"Samandar, Saiyar Mori Re","Reparto,  Dirección de casting",0
Dharmendra Gohil,0,"Kasoombo, Dimensions",Reparto,0
Deeksha Joshi,1992,"Samandar, Prem Prakaran",Reparto,"""Critics Choice Film Awards, India"""
Reeva Rachh,0,"Samandar, Bushirt T-shirt",Reparto,Rohip International Film Festival
Taisei Sakai,0,"Ô-Sama Sentai Kingu-Ôjâ, Ohsama Sentai King-Ohger vs. Kyoryuger",Reparto,0
Aoto Watanabe,0,"Ohsama Sentai King-Ohger vs. Donbrothers, Ohsama Sentai King-Ohger vs. Kyoryuger",Reparto,0
Erica Murakami,0,"Ohsama Sentai King-Ohger vs. Donbrothers, Ohsama Sentai King-Ohger vs. Kyoryuger",Reparto,0
Yuzuki Hirakawa,0,"Ohsama Sentai King-Ohger: The Secrets of King Rcules, Ohsama Sentai King-Ohger vs. Donbrothers",Reparto,0
So Kaku,0,"Kamen Rider Zero-One, Prisioneros de Ghostland",Reparto,0
Taisei Sakai,0,"Ô-Sama Sentai Kingu-Ôjâ, Ohsama Sentai King-Ohger vs. Kyoryuger",Reparto,0
Aoto Watanabe,0,"Ohsama Sentai King-Ohger vs. Donbrothers, Ohsama Sentai King-Ohger vs. Kyoryuger",Reparto,0
Erica Murakami,0,"Ohsama Sentai King-Ohger vs. Donbrothers, Ohsama Sentai King-Ohger vs. Kyoryuger",Reparto,0
Yuzuki Hirakawa,0,"Ohsama Sentai King-Ohger: The Secrets of King Rcules, Ohsama Sentai King-Ohger vs. Donbrothers",Reparto,0
So Kaku,0,"Kamen Rider Zero-One, Prisioneros de Ghostland",Reparto,0
Robert Dow,0,0,Reparto,0
Mark Rufo,0,0,Reparto,0
Tim Barber,0,"Boudica, 3 Wishes for Christmas",Reparto,0
Anthony Fernandes,0,"Maachis, Zameen","Efectos especiales,  Efectos visuales,  Reparto",0
Eric Kofi Jr.,0,0,"Reparto,  Guion,  Producción",0
Elona Gagani,0,"United Six, Before my Heart stops",Reparto,0
Nat Owusu Walters,0,0,Reparto,0
Livi Ciananta,0,"""A Faeries Wanderlust""",Reparto,0
Ariyo Wahab,0,"Sayap-Sayap Patah, Merah Putih Memanggil",Reparto,0
Nadila Ernesta,0,"Miracle: Menantang Maut, Before I Met You",Reparto,0
