actor_name,birth_year,known_for,actor_role,actor_awards
Byom,0,"Lage Na Mon, Love Driver","Reparto,  Producción,  Dirección de la segunda unidad o asistencia a dirección",0
Aaron Jackson,1973,"Ghost Story Chronicles, Male Order","Reparto,  Producción,  Dirección","Global Shorts, Los Angeles"
Rose LaRue,0,"Forgiven, Love Song and Power","Reparto,  Assistant,  Guion y continuidad",0
Cassidy Reyes,0,"Que Dios no lo permita: el escándalo que acabó con una dinastía, The Red Tide Massacre","Reparto,  Producción",0
Becky Brown,0,"""Thats What Friends are For"", The Bermuda Triangle Project","Reparto,  Producción,  Casting",0
Deborah Smith Ford,0,"Mickey, Love Song and Power","Reparto,  Guion,  Producción","Fort Myers Beach Film Festival, IndieFEST Film Awards"
Adam Sandler,1966,"Little Nicky, El chico ideal","Reparto,  Producción,  Guion","American Comedy Awards, USA, Annie Awards"
Carey Mulligan,1985,"Shame, Drive","Reparto,  Producción,  Vestuario","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Paul Dano,1984,"Pequeña Miss Sunshine, 12 años de esclavitud","Reparto,  Producción,  Dirección","Academy of Science Fiction, Fantasy & Horror Films, USA, Boston Society of Film Critics Awards"
Kunal Nayyar,1981,"Trolls, Ice Age 4: La formación de los continentes","Reparto,  Producción,  Equipo ejecutivo","BAFTA Awards, ""Peoples Choice Awards, USA"""
Isabella Rossellini,1952,"La muerte os sienta tan bien, Sin miedo a la vida","Reparto,  Dirección,  Guion","Academy of Science Fiction, Fantasy & Horror Films, USA, Berlin International Film Festival"
Cailey Fleming,2007,"The Walking Dead, Star Wars: El despertar de la Fuerza","Reparto,  Banda sonora","CinEuphoria Awards, Blue Whiskey Independent Film Festival"
Ryan Reynolds,1976,"Deadpool, Buried","Reparto,  Producción,  Guion","Academy of Science Fiction, Fantasy & Horror Films, USA, Critics Choice Awards"
John Krasinski,1979,"Un lugar tranquilo, The Office","Reparto,  Producción,  Dirección","Academy of Science Fiction, Fantasy & Horror Films, USA, Bram Stoker Awards"
Fiona Shaw,1958,"Harry Potter y la piedra filosofal, Los vengadores","Reparto,  Equipos adicionales,  Banda sonora","BAFTA Awards, British Independent Film Awards"
Steve Carell,1962,"Virgen a los 40, Foxcatcher","Reparto,  Producción,  Guion","Academy Awards, USA, American Comedy Awards, USA"
Gippy Grewal,1983,"Jatt James Bond, Manje Bistre","Reparto,  Producción,  Guion","Zee Cine Awards, PTC Punjabi Film Awards"
Gurpreet Ghuggi,1971,"Ardaas Karaan, Race","Reparto,  Música,  Guion",PTC Punjabi Film Awards
Karamjit Anmol,1972,"Manje Bistre, Mindo Taseeldarni","Reparto,  Música,  Producción",Filmfare Awards Punjabi
Raghveer Boli,1987,"Sheran Di Kaum Punjabi, Ik Sandhu Hunda Si",Reparto,0
Sharik Khan,1995,"Gunjan Saxena: La chica de Kargil, Radhe Shyam","Reparto,  Guion,  Dirección",0
Robyn Von Arx,0,"Enipheres, Murder Book","Producción,  Dirección,  Reparto","Park City Film Music Festival, Mesopotamia Film Festival"
Jamal Lloyd Johnson,0,"Dahmer - Monstruo: La historia de Jeffrey Dahmer, Déjame entrar","Reparto,  Producción,  Especialistas","Accolade Competition, Souq Film Festival"
Charles Arthur Berg,0,"EDtv, Cuentos de Halloween","Producción,  Dirección de producción,  Reparto",0
Mustafa Haidari,0,"FBI, SEAL Team","Reparto,  Equipos adicionales,  Especialistas","Nawada International Film Festival, Roshani International Film Festival"
Kathryn Melton,0,"Southland, Invasión",Reparto,"Nawada International Film Festival, Roshani International Film Festival"
Yihong Duan,1973,"The Looming Storm, Yin bao zhe","Reparto,  Producción","Golden Horse Film Festival, Golden Rooster Awards"
Pengyuan Shi,0,"Yin mi de jiao luo, Man chang de ji jie",Reparto,"Domestic TV series Ceremony, China, Iqiyi TV and Movie Awards"
Beibi Gong,0,"Hannan xia ri, Inseparable","Reparto,  Producción,  Banda sonora","Beijing Student Film Festival, Beijing Youth Film Festival"
Baoliang Sha,0,"Ni Hao Shen Qiang Shou, Men suo",Reparto,Huading Award
Moyan Wen,0,"Yi dao tian tang, Always Have, Always Will",Reparto,0
Chronox,0,0,Reparto,0
Liara Deia,0,0,"Reparto,  Dirección de arte,  Dirección de casting",0
Gwyneth Irene,0,0,Reparto,0
Jenniefs,0,0,Reparto,0
Davina Jereni,0,0,Reparto,0
Lupita Nyong'o,1983,"Black Panther, Nosotros","Reparto,  Producción,  Equipos adicionales","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Joseph Quinn,1994,"Overlord, Un lugar tranquilo: Día 1","Reparto,  Banda sonora","Academy of Science Fiction, Fantasy & Horror Films, USA, MTV Movie + TV Awards"
Alex Wolff,1997,"Pig, Tiempo","Reparto,  Composición,  Producción","BMI Film & TV Awards, Denver International Film Festival"
Djimon Hounsou,1964,"Guardianes de la Galaxia, En América","Reparto,  Producción,  Dirección","Academy Awards, USA, Acapulco Black Film Festival"
Eliane Umuhire,1986,"Augure, Los árboles de la paz",Reparto,"Chicago International Film Festival, Polish Film Festival"
Tao Guo,0,"Scoop, Heropanti 2",Reparto,0
Betty Faye,0,0,Reparto,Kraken International Film Festival
Aitana Llorente,0,0,Reparto,0
John Pritchard,0,0,Reparto,0
Ivan Kingsley,0,0,Reparto,0
RAAHI,0,"The Choice, Notebook","Reparto,  Producción,  Edición",0
Hema Chaudhary,0,0,Reparto,0
Pooja Kandare,1994,"Aamdar Niwas, 3rd October","Reparto,  Diseño de vestuario",0
Sanit Swami,0,"Hatya, Journey Interrpted","Reparto,  Dirección de casting,  Guion",0
Aditi Lakhpati,0,0,"Reparto,  Maquillaje",0
Pekka Luodeslampi,0,"Hello Au Revoir, Hillary Hawkins: You Can Do It!",Reparto,0
Courtney McCrea,0,Penciltale,Reparto,0
Aaro Alhonen,0,0,Reparto,0
Michael Majalahti,1973,"Rendel, ""We Dont Say Retard Anymore""","Reparto,  Guion",0
Hrithik Roshan,1974,"Koi... Mil Gaya, Jodhaa Akbar","Reparto,  Dirección de la segunda unidad o asistencia a dirección,  Música","Filmfare Awards, Awards of the International Indian Film Academy"
Deepika Padukone,1986,"Padmavati, Om Shanti Om","Reparto,  Producción,  Banda sonora","Filmfare Awards, Awards of the International Indian Film Academy"
